Geneid,<2C (LG1),G1,S,G2M,>4C (GG2M),desc,class
Tb927.10.6560,3478.0,6798.0,6648.5,7845.5,6491.0,Protein of unknown function DUF72  putative,G2M
Tb927.10.6570,3063.5,4745.0,4917.0,4446.0,3482.5,TPR repeat  putative,S
Tb927.10.6580,4346.0,9655.5,8847.0,8809.5,7909.0,hypothetical protein,G1
Tb927.10.6590,4449.5,6870.0,6687.5,7245.0,5847.0,hypothetical protein  conserved,G2M
Tb927.10.6600,6649.0,6530.5,6185.0,5517.5,4693.0,hypothetical protein  conserved,<2C (LG1)
Tb927.10.6610,2780.5,3572.0,4057.0,2928.0,3093.0,chaperone protein DnaJ  putative,S
Tb927.10.6620,10140.5,7314.5,6986.5,7372.5,9103.5,hypothetical protein  conserved,<2C (LG1)
Tb927.10.6630,6504.0,2198.0,1199.5,1125.0,461.5,ATP-dependent RNA helicase DBP2A  putative,<2C (LG1)
Tb927_10_v5.snoRNA.0100,612.5,40.5,40.0,33.5,86.0,unspecified product,<2C (LG1)
Tb927_10_v5.snoRNA.0101,612.5,40.5,40.0,33.5,86.0,unspecified product,<2C (LG1)
Tb927_10_v5.snoRNA.0102,612.5,40.5,40.0,33.5,86.0,unspecified product,<2C (LG1)
Tb927_10_v5.snoRNA.0103,612.5,40.5,40.0,33.5,86.0,unspecified product,<2C (LG1)
Tb927.10.6640,612.5,1466.5,2440.5,3154.0,461.5,transmembrane emp24 domain-containing protein,G2M
Tb927_10_v5.snoRNA.0104,612.5,40.5,40.0,33.5,86.0,unspecified product,<2C (LG1)
Tb927_10_v5.snoRNA.0105,612.5,40.5,40.0,33.5,86.0,unspecified product,<2C (LG1)
Tb927_10_v5.snoRNA.0106,612.5,40.5,40.0,33.5,86.0,unspecified product,<2C (LG1)
Tb927_10_v5.snoRNA.0107,612.5,40.5,40.0,33.5,86.0,unspecified product,<2C (LG1)
Tb927.10.6650,3261.0,6016.0,6718.0,7065.0,6499.0,G10 protein homologue  putative,G2M
Tb927.10.6670,612.5,426.0,596.0,273.5,287.0,dynein light chain  putative,<2C (LG1)
Tb927.10.6680,11295.0,10826.5,11147.0,10876.0,10852.5,member of the NOL1/NOP2/sun family of proteins,<2C (LG1)
Tb927.10.6690,10608.0,10248.0,10276.0,10216.5,10213.5,protein tyrosine phosphatase 1,<2C (LG1)
Tb927.10.6700,3487.0,6458.5,8211.5,6854.5,8857.0,Kinetochore interacting protein 3,>4C (GG2M)
Tb927.10.6710,2094.5,5397.5,3902.0,3057.0,4597.5,hypothetical protein  conserved,G1
Tb927.10.6720,8520.5,8070.5,8863.5,8176.5,7447.5,Plasma-membrane choline transporter  putative,S
Tb927.10.6730,7348.0,6164.0,7061.5,6540.5,4276.5,Plasma-membrane choline transporter  putative,<2C (LG1)
Tb927.10.6740,10655.5,10427.0,10860.5,10693.0,9009.5,Plasma-membrane choline transporter  putative,S
Tb927.10.6750,9006.5,9190.0,9960.0,9572.0,8590.5,Plasma-membrane choline transporter  putative,S
Tb927.10.6760,7951.5,9718.0,10112.0,9627.0,8979.0,Plasma-membrane choline transporter  putative,S
Tb927.10.6770,9054.0,8245.0,7965.0,8303.0,7821.0,BRCA1 C Terminus (BRCT) domain containing protein  putative,<2C (LG1)
Tb927.10.6780,6173.0,6306.5,6480.0,5751.5,7334.5,vacuolar protein sorting-associated protein 45  putative,>4C (GG2M)
Tb927.10.6790,10775.0,10717.0,11021.0,10542.5,11433.0,Gamma-tubulin complex component 3-like protein,>4C (GG2M)
Tb927.10.6800,3803.0,8375.5,7652.5,7931.0,6216.5,developmentally regulated GTP-binding protein  putative,G1
Tb927.10.6810,2535.5,1609.0,1536.0,3013.0,1374.5,guanylate kinase  putative,G2M
Tb927.10.6820,1783.5,6170.0,7342.5,5690.0,5394.5,hypothetical protein  conserved,S
Tb927.10.6830,7409.5,4693.0,5025.0,4252.5,2427.0,bardet-biedl syndrome 4 protein,<2C (LG1)
Tb927.10.6840,612.5,4872.5,5584.0,4070.5,5282.0,hypothetical protein  conserved,S
Tb927.10.6850,7157.5,7262.5,7813.0,8056.0,8493.0,Mitochondrial ribosomal protein S18  putative,>4C (GG2M)
Tb10.NT.73,2747.5,3171.5,3987.0,3241.5,1842.0,Noncoding RNA  putative,S
Tb927.10.6860,5304.0,7825.0,7274.0,6647.5,5880.0,endonuclease v,G1
Tb927.10.6870,5925.5,8361.5,7912.5,8475.0,10131.0,short-chain dehydrogenase  putative,>4C (GG2M)
Tb927.10.6880,3741.5,6550.5,6636.5,5741.0,4664.5,glyceraldehyde 3-phosphate dehydrogenase  cytosolic,S
Tb927.10.6890,5090.0,6782.5,5618.5,5285.0,6028.0,hypothetical protein,G1
Tb927.10.6900,5308.5,9229.5,8451.0,8076.5,10092.0,base J-associated glucosyltransferase,>4C (GG2M)
Tb927.10.6910,7058.0,7672.5,6991.5,7144.0,6344.5,Sterol methyltransferase  putative,G1
Tb927.10.6920,2658.5,5315.0,6022.5,6157.0,4429.0,hypothetical protein,G2M
Tb927.10.6930,8485.0,8081.0,7418.5,8194.0,7184.5,Cullin family/Cullin protein neddylation domain containing protein  putative,<2C (LG1)
Tb927.10.6940,9781.5,10132.0,10457.5,10045.5,9820.5,Dipeptidyl-peptidase 8-like  putative,S
Tb927_10_v4.snoRNA.0045:snoRNA,3494.5,1653.5,1465.0,1688.5,2336.0,term,<2C (LG1)
Tb927_10_v4.snoRNA.0030:snoRNA,1460.0,335.0,391.5,313.5,778.5,term,<2C (LG1)
Tb927_10_v4.snoRNA.0057:snoRNA,612.5,386.5,596.0,292.5,744.5,term,>4C (GG2M)
Tb927_10_v4.snoRNA.0054:snoRNA,612.5,896.0,578.5,647.5,853.0,term,G1
Tb927_10_v4.snoRNA.0052:snoRNA,4480.0,1653.5,1361.0,1031.0,744.5,term,<2C (LG1)
Tb927_10_v4.snoRNA.0072:snoRNA,2381.5,294.5,210.0,273.5,213.0,term,<2C (LG1)
Tb927_10_v4.snoRNA.0046:snoRNA,2826.5,373.5,253.5,292.5,287.0,term,<2C (LG1)
Tb927_10_v4.snoRNA.0028:snoRNA,612.5,222.0,40.0,292.5,213.0,term,<2C (LG1)
Tb927_10_v4.snoRNA.0058:snoRNA,1783.5,373.5,161.0,248.0,347.0,term,<2C (LG1)
Tb927_10_v4.snoRNA.0056:snoRNA,612.5,1894.5,2275.0,2389.0,1099.0,term,G2M
Tb927.10.6950,6179.5,6324.0,6218.5,6676.5,5125.0,sterol 24-c-methyltransferase  putative,G2M
Tb927.10.6960,1783.5,5675.0,5856.5,6927.5,4411.5,hypothetical protein  conserved,G2M
Tb927.10.6970,9689.5,10254.0,10592.0,10045.5,10064.5,serine peptidase  Clan SC  Family S9B,S
Tb927_10_v4.snoRNA.0047:snoRNA,3645.5,1574.5,1650.0,1514.5,2550.0,term,<2C (LG1)
Tb927_10_v4.snoRNA.0029:snoRNA,612.5,294.5,427.0,397.5,531.0,term,<2C (LG1)
Tb927_10_v4.snoRNA.0059:snoRNA,612.5,449.0,507.0,444.5,933.5,term,>4C (GG2M)
Tb927_10_v4.snoRNA.0055:snoRNA,612.5,738.5,532.5,352.0,895.5,term,>4C (GG2M)
Tb927_10_v4.snoRNA.0053:snoRNA,7320.0,2609.5,2164.5,2520.5,1179.0,term,<2C (LG1)
Tb927_10_v4.snoRNA.0073:snoRNA,3863.0,626.0,743.0,628.0,433.0,term,<2C (LG1)
Tb927_10_v4.snoRNA.0048:snoRNA,3550.5,565.0,547.0,862.0,397.5,term,<2C (LG1)
Tb927.10.6980,10092.0,8677.0,9087.0,9748.0,8000.0,caltractin  putative,<2C (LG1)
Tb927.10.6990,4587.0,7317.5,7091.5,7327.0,4928.5,hypothetical protein  conserved,G2M
Tb927.10.7000,7292.0,4859.5,3599.5,4193.5,3144.5,hypothetical protein  conserved,<2C (LG1)
Tb927.10.7010,6777.5,6139.5,7442.5,5600.0,4849.5,hypothetical protein  conserved,S
Tb927.10.7020,7148.0,4413.0,4019.5,3168.0,3794.0,acid phosphatase  putative,<2C (LG1)
Tb927.10.7030,2295.5,1858.0,1522.0,1215.5,1099.0,hypothetical protein  conserved,<2C (LG1)
Tb927.10.7040,7898.5,7024.5,7601.0,6809.0,7268.5,hypothetical protein  conserved,<2C (LG1)
Tb927.10.7050,1460.0,3467.5,4117.0,4221.0,5996.5,chromatin assembly factor 1 subunit B  putative,>4C (GG2M)
Tb927.10.7060,3785.5,4400.0,5144.0,7883.0,11344.0,Nucleoporin NUP96,>4C (GG2M)
Tb927.10.7070,3166.5,2149.5,2196.0,2199.0,3794.0,small nuclear RNA-activating protein,>4C (GG2M)
Tb927.10.7080,7471.5,6139.5,6708.5,5716.5,6690.0,ATP-dependent DEAD/H RNA helicase  putative,<2C (LG1)
Tb927.10.7090,5025.0,4194.0,2440.5,2321.5,4703.5,Alternative oxidase  mitochondrial,<2C (LG1)
Tb927.10.7100,7324.0,6251.0,4928.0,5392.0,5003.0,delta-4 fatty acid desaturase,<2C (LG1)
Tb927.10.7110,3654.0,2409.5,3789.5,4394.5,2953.5,Myo-inositol 1-phosphate synthase,G2M
Tb927.10.7120,612.5,3256.0,3371.5,2603.0,6323.0,hypothetical protein  conserved,>4C (GG2M)
Tb927.10.7130,11022.0,9450.5,9080.5,9167.5,7484.5,hypothetical protein  conserved,<2C (LG1)
Tb927.10.7140,9236.5,10422.5,10546.0,10305.5,10303.0,membrane-bound acid phosphatase 2,S
Tb927.10.7150,7104.0,5205.5,5419.0,5333.0,6048.5,hypothetical protein,<2C (LG1)
Tb927.10.7160,10302.0,10155.0,8596.0,9008.5,7731.5,procyclin-associated gene 1 (PAG1) protein  putative,<2C (LG1)
Tb927.10.7170,2637.5,6870.0,7552.5,6837.5,7412.0,hypothetical protein,S
Tb927.10.7180,11698.0,11289.0,11271.0,11037.0,11396.0,cysteine-rich  acidic integral membrane protein precursor,<2C (LG1)
Tb927.10.7190,9049.0,7681.0,6630.0,7547.0,4849.5,D-tyrosyl-tRNA deacylase  putative,<2C (LG1)
Tb927.10.7200,9564.0,6933.0,8015.5,8593.5,8273.0,TPR repeat  putative,<2C (LG1)
Tb927.10.7210,3314.5,2839.5,2551.0,2470.5,4005.5,Flagellum attachment zone protein 17,>4C (GG2M)
Tb927.10.7220,2504.5,6282.5,6838.0,5505.5,3669.0,hypothetical protein  conserved,S
Tb927.10.7230,10884.5,10748.0,11080.0,10611.5,10959.5,Flagellar Member 1,S
Tb927.10.7240,9125.5,7465.5,7890.5,8547.5,8213.5,kinetoplastid kinetochore protein 14,<2C (LG1)
Tb927.10.7250,612.5,7561.5,6826.5,6313.0,5634.5,hypothetical protein  conserved,G1
Tb927.10.7270,5689.5,8431.0,8746.5,9515.5,9652.5,hypothetical protein  conserved,>4C (GG2M)
Tb927.10.7280,9933.0,8917.0,9078.0,9018.0,10622.0,pre-mRNA splicing factor ATP-dependent RNA helicase  putative,>4C (GG2M)
Tb927.10.7290,9819.5,4913.5,5270.0,5617.5,5752.5,Flagellar Member 2,<2C (LG1)
Tb927.10.7300,1460.0,40.5,99.0,136.5,86.0,hypothetical protein  conserved,<2C (LG1)
Tb927.10.7310,7709.5,8240.5,8222.0,7308.0,7112.5,terminal uridylyltransferase 3  putative,G1
Tb927.10.7320,2481.0,3457.0,3179.5,2120.5,1660.5,hypothetical protein  conserved,G1
Tb927.10.7330,612.5,192.5,336.0,334.5,213.0,40S ribosomal protein S24E  putative,<2C (LG1)
Tb927.10.7340,612.5,130.0,210.0,182.5,213.0,40S ribosomal protein S24E  putative,<2C (LG1)
Tb927.10.7350,4080.0,6007.0,5991.0,6067.5,10851.0,hypothetical protein  conserved,>4C (GG2M)
Tb927.10.7360,11110.0,10762.0,11104.0,10879.0,10021.5,ATP-binding cassette protein  putative,<2C (LG1)
Tb927.10.7370,612.5,8857.0,8831.0,8264.5,8852.5,hypothetical protein  conserved,G1
Tb927.10.7375,7210.5,2296.0,2522.5,2211.5,2141.5,hypothetical protein,<2C (LG1)
Tb927.10.7380,3868.5,4027.0,3464.5,3724.0,4617.5,LSU ribosomal protein  mitochondrial  putative,>4C (GG2M)
Tb927.10.7390,2535.5,518.0,448.0,647.5,559.5,PHF5-like protein  putative,<2C (LG1)
Tb927.10.7400,7532.5,9428.0,10035.0,9864.5,7792.5,predicted zinc finger protein,S
Tb927.10.7410,9391.0,8344.5,7629.0,7137.5,6344.5,succinyl-CoA ligase [GDP-forming] beta-chain  putative,<2C (LG1)
Tb927.10.7420,9443.0,7642.0,7124.5,7582.0,6864.5,bromodomain factor 2 protein  putative,<2C (LG1)
Tb927.10.7430,6822.0,9431.0,8803.0,8637.5,9903.0,GTP-binding protein  putative,>4C (GG2M)
Tb927.10.7440,5204.5,1866.5,2987.0,2907.5,672.0,ATP-dependent RNA helicase MTR4,<2C (LG1)
Tb927.10.7450,612.5,1817.5,1549.5,2869.0,2720.5,Ribosomal RNA processing protein 41A,G2M
Tb927.10.7460,6528.0,6124.0,6152.5,6706.0,5220.0,hypothetical protein,G2M
Tb927.10.7470,1460.0,2106.0,2425.0,2671.0,1717.0,RNA-binding protein  putative,G2M
Tb927.10.7480,1460.0,2957.5,3978.5,3866.5,3775.0,hypothetical protein  conserved,S
Tb927.10.7490,3142.5,5057.5,4577.0,3677.0,2550.0,cullin 2  putative,G1
Tb927.10.7500,5025.0,4540.5,3994.5,3826.0,3086.0,fibrillarin,<2C (LG1)
Tb10_snRNA_1:snRNA,8510.5,7716.0,6936.0,7687.0,7249.5,uRNA C,<2C (LG1)
Tb10_tRNA_Gly_1:tRNA,6906.5,5251.5,4398.0,4711.5,4498.5,tRNA Glycine,<2C (LG1)
Tb927.10.7510,1460.0,7230.0,8108.5,7072.0,7431.5,chromatin binding protein  putative,S
Tb927.10.7520,10487.0,9818.5,8847.0,9478.0,8345.0,folylpolyglutamate synthase  putative,<2C (LG1)
Tb927.10.7530,1783.5,1530.0,1091.0,757.5,86.0,hypothetical protein,<2C (LG1)
Tb927.10.7540,11033.0,10130.0,10522.0,10194.0,8443.0,VRR-NUC domain containing protein  putative,<2C (LG1)
Tb927.10.7550,9477.0,7660.0,6485.5,7034.0,7084.5,hypothetical protein  conserved,<2C (LG1)
Tb927.10.7560,3848.5,5521.0,6302.0,6647.5,9065.0,methyltransferase domain containing protein  putative,>4C (GG2M)
Tb927.10.7570,8063.0,6546.5,6929.5,7710.0,5694.5,dihydrolipoamide acetyltransferase E2 subunit  putative,<2C (LG1)
Tb927.10.7580,11176.0,11147.0,11373.5,11374.0,10776.0,hypothetical protein  conserved,G2M
Tb927.10.7590,9195.5,6115.0,6976.0,6626.0,7098.5,hypothetical protein  conserved,<2C (LG1)
Tb927.10.7600,612.5,3700.0,3487.0,3142.0,2734.0,Centrosomal protein POC5  putative,G1
Tb927.10.7610,8878.0,11213.5,11352.5,11336.0,11309.5,NADH-ubiquinone oxidoreductase complex I subunit  putative,S
Tb927.10.7620,1460.0,3979.0,4398.0,3282.0,4222.5,mitochondrial ATP-dependent zinc metallopeptidase  putative,S
Tb927.10.7630,1914.0,8560.5,8386.0,8615.0,10060.5,transportin2- like protein,>4C (GG2M)
Tb927.10.7640,612.5,2232.0,2207.0,1491.0,2351.0,hypothetical protein,>4C (GG2M)
Tb10_tRNA_Pro_2:tRNA,4339.5,867.5,1289.5,1125.0,531.0,tRNA Proline,<2C (LG1)
Tb10_tRNA_Thr_1:tRNA,612.5,886.5,703.0,849.0,584.5,tRNA Threonine,G1
Tb10_snRNA_2:snRNA,3550.5,1180.5,1757.0,1299.0,461.5,small nuclear RNA,<2C (LG1)
Tb927.10.7650,7421.0,7756.0,7856.0,7368.0,4938.0,hypothetical protein,S
Tb10_tRNA_Leu_1:tRNA,5158.5,4400.0,4807.5,4542.0,5024.5,tRNA Leucine,<2C (LG1)
Tb10_tRNA_Met_1:tRNA,3834.5,835.5,1030.5,773.0,1984.0,tRNA Methionine,<2C (LG1)
Tb10_tRNA_Pro_1:tRNA,3078.5,413.0,391.5,592.5,933.5,tRNA Proline,<2C (LG1)
Tb927.10.7660,3131.5,5236.0,5334.5,3763.0,4947.0,hypothetical protein,S
Tb927.10.7670,4728.0,5364.5,5670.5,5228.0,4391.0,Protein of unknown function (DUF2962)  putative,S
Tb927.10.7680,4375.0,3997.5,3755.0,3724.0,2164.5,GTPase activating protein  putative,<2C (LG1)
Tb927.10.7690,6216.0,9750.5,9649.5,8623.5,8662.0,Component of motile flagella 4,G1
Tb927.10.7700,9652.5,11354.0,11363.0,11390.0,10650.5,ATP-binding cassette protein subfamily G,G2M
Tb927.10.7710,7898.5,5213.5,5981.0,3380.5,4306.0,40S ribosomal protein S8  putative,<2C (LG1)
Tb927.10.7720,612.5,738.5,865.5,925.0,2720.5,hypothetical protein  conserved,>4C (GG2M)
Tb927.10.7730,5511.0,2723.0,2750.5,2264.5,2977.5,Domain of unknown function (DUF4496)  putative,<2C (LG1)
Tb927.10.7740,5402.0,7736.5,8606.0,7897.5,8380.0,protein transport protein SEC23,S
Tb927.10.7750,4375.0,6922.5,5584.0,6147.0,7213.0,hypothetical protein  conserved,>4C (GG2M)
Tb927.10.7760,7115.0,1595.5,2369.0,2237.0,1141.0,hypothetical protein  conserved,<2C (LG1)
Tb927.10.7770,11296.5,9605.5,9698.5,8239.5,9832.0,hypothetical protein,<2C (LG1)
Tb927.10.7780,9061.5,5701.0,5164.0,4433.0,5772.0,Mitogen-activated protein kinase KFR1,<2C (LG1)
Tb927.10.7790,612.5,4096.5,3344.0,3295.5,2364.5,ubiquitin fusion degradation protein  putative,G1
Tb927.10.7800,4905.0,7789.0,6429.5,7426.5,7518.0,cop9 signalosome complex subunit  putative,G1
Tb927.10.7810,4894.5,10145.0,9630.5,9412.5,5675.0,Pre-rRNA-processing protein ESF1  putative,G1
Tb927.10.7820,2886.0,3235.0,3197.0,2252.0,1878.0,hypothetical protein  conserved,G1
Tb927.10.7830,9656.5,10825.0,10955.0,10840.0,10501.0,hypothetical protein  conserved,S
Tb927.10.7840,6862.0,2969.5,3028.0,3785.5,4975.5,hypothetical protein  conserved,<2C (LG1)
Tb927.10.7850,612.5,3164.5,3514.5,2617.5,3125.5,protein-L-isoaspartate  putative,S
Tb927.10.7860,5074.0,3863.5,4732.5,4126.5,3413.5,hypothetical protein  conserved,<2C (LG1)
Tb927.10.7870,7635.5,7939.0,8986.0,8023.0,7377.0,hypothetical protein  conserved,S
Tb927.10.7880,2970.5,1143.0,1149.5,1936.0,8590.5,Sperm tail/Sperm tail C-terminal domain containing protein  putative,>4C (GG2M)
Tb927.10.7890,3179.0,1838.0,2717.5,2357.0,3295.5,hypothetical protein  conserved,>4C (GG2M)
Tb927.10.7900,3448.5,4323.0,4887.0,3521.5,5354.0,hypothetical protein  conserved,>4C (GG2M)
Tb927.10.7910,612.5,1293.5,1217.0,1125.0,1355.0,RNA editing complex protein  putative,>4C (GG2M)
Tb927.10.7920,1914.0,3766.0,4170.0,4558.5,7545.5,hypothetical protein  conserved,>4C (GG2M)
Tb927.10.7925,612.5,2069.5,2122.5,2456.5,3861.0,hypothetical protein,>4C (GG2M)
Tb927.10.7930,6479.5,5789.5,5044.5,5381.0,4391.0,2 3-bisphosphoglycerate-independent phosphoglycerate mutase,<2C (LG1)
Tb927.10.7940,8458.0,3711.5,4559.5,3658.0,4903.0,methyltransferase  putative,<2C (LG1)
Tb927.10.7950,612.5,5789.5,4776.0,5386.0,4257.0,hypothetical protein,G1
Tb927.10.7960,2047.0,2260.5,2369.0,2788.5,2679.0,hypothetical protein  conserved,G2M
Tb927.10.7970,9662.0,7293.5,6772.0,6366.5,7416.5,Organic solute transporter Ostalpha  putative,<2C (LG1)
Tb927.10.7980,8297.0,6664.0,6730.0,5969.0,6112.5,hypothetical protein  conserved,<2C (LG1)
Tb927.10.7985,612.5,192.5,668.5,273.5,86.0,hypothetical protein,S
Tb927.10.7990,8303.0,2479.0,3930.5,3805.5,1472.0,replication factor C subunit 3  putative,<2C (LG1)
Tb927.10.8000,1914.0,7053.5,7278.0,7940.0,10982.0,hypothetical protein  conserved,>4C (GG2M)
Tb927.10.8010,3662.5,1415.5,1679.0,1726.5,2720.5,hypothetical protein  conserved,<2C (LG1)
Tb927.10.8020,9292.0,10076.0,10155.0,9460.5,10447.0,prolyl endopeptidase,>4C (GG2M)
Tb927.10.8030,4563.0,2260.5,2612.0,1993.5,2536.0,Mitochondrial ATP synthase subunit 5,<2C (LG1)
Tb927.10.8040,5747.0,8557.5,9050.5,8132.5,10442.5,beta adaptin  putative,>4C (GG2M)
Tb927.10.8050,7435.0,9171.0,8882.5,8974.0,9234.5,TFIIF-stimulated CTD phosphatase  putative,>4C (GG2M)
Tb927.10.8060,11175.0,7065.5,8917.0,8348.5,5230.0,SET domain containing protein  putative,<2C (LG1)
Tb927.10.8070,7646.5,10632.5,10263.5,10198.0,9065.0,ATPase  putative,G1
Tb927.10.8080,4057.5,6792.5,7856.0,7308.0,6690.0,Uncharacterized conserved protein (DUF2042)  putative,S
Tb927.10.8090,3155.0,2975.0,3108.5,3295.5,1958.0,hypothetical protein  conserved,G2M
Tb927.10.8100,612.5,4227.0,3821.0,3796.5,4199.0,hypothetical protein  conserved,G1
Tb927.10.8110,9490.0,8300.0,7879.0,7072.0,9313.0,Protein of unknown function (DUF2453)  putative,<2C (LG1)
Tb927.10.8115,612.5,2479.0,1977.0,2058.5,3888.0,hypothetical protein,>4C (GG2M)
Tb927.10.8120,9250.0,8946.0,9095.5,9066.0,9911.0,RNA ligase/AAA domain containing protein  putative,>4C (GG2M)
Tb927.10.8130,612.5,2741.5,2075.5,3029.0,2141.5,hypothetical protein  conserved,G2M
Tb927.10.8140,612.5,3485.5,2541.5,1343.0,1958.0,EVE domain containing protein  putative,G1
Tb927.10.8150,7540.5,5083.0,6246.0,5939.0,5609.5,Bromodomain factor 1,<2C (LG1)
Tb927.10.8160,4930.5,2983.5,2214.0,2541.0,3606.5,hypothetical protein  conserved,<2C (LG1)
Tb927.10.8170,4760.5,4823.5,6379.0,5407.5,7084.5,Nucleoporin NUP144,>4C (GG2M)
Tb927.10.8180,8380.5,8730.5,9197.5,8508.0,9220.5,hypothetical protein  conserved,>4C (GG2M)
Tb10.NT.91,612.5,2457.0,2638.5,3545.0,1338.5,Noncoding RNA  putative,G2M
Tb927.10.8190,1460.0,1817.5,2586.5,3627.0,10229.5,T-complex protein 1  theta subunit  putative,>4C (GG2M)
Tb927.10.8200,8800.5,7216.5,8094.5,6837.5,7055.0,Ribosomal protein L1p/L10e family  putative,<2C (LG1)
Tb927.10.8210,8800.5,8254.0,8060.5,7730.0,7689.0,KREPA2,<2C (LG1)
Tb927.10.8220,2460.0,7647.5,6648.5,5101.5,5567.0,hypothetical protein  conserved,G1
Tb927.10.8230,6498.0,6095.5,5991.0,5832.0,5266.5,protein disulfide isomerase 2,<2C (LG1)
Tb927.10.8240,6797.0,9072.0,9363.5,10630.5,11623.0,hypothetical protein  conserved,>4C (GG2M)
Tb927.10.8250,8729.0,5946.5,5838.5,5600.0,4403.5,hypothetical protein  conserved,<2C (LG1)
Tb927.10.8260,612.5,1190.0,1137.0,1097.5,1691.0,hypothetical protein  conserved,>4C (GG2M)
Tb927.10.8270,2619.0,3217.5,2154.5,1805.5,1622.5,eukaryotic translation initiation factor 3 subunit c,G1
Tb927.10.8275,2381.5,2069.5,1757.0,2520.5,1047.0,hypothetical protein  conserved,G2M
Tb927.10.8280,3888.5,5921.5,4224.5,4798.0,5451.0,U1A small nuclear ribonucleoprotein,G1
Tb927.10.8290,2481.0,3552.0,2023.5,2085.0,1816.5,eukaryotic translation initiation factor 3 subunit c,G1
Tb927.10.8295,2094.5,1716.0,1603.5,2440.0,672.0,hypothetical protein  conserved,G2M
Tb927.10.8300,3468.5,4920.0,3789.5,4279.5,4928.5,U1A small nuclear ribonucleoprotein,>4C (GG2M)
Tb927.10.8310,6929.5,4823.5,3066.0,4301.0,5870.5,histone acetyltransferase,<2C (LG1)
Tb927.10.8320,9100.0,6772.0,6401.0,6357.5,5526.5,cytochrome oxidase subunit IX  putative,<2C (LG1)
Tb927.10.8330,2795.5,322.0,1402.0,1642.5,2991.5,S. cerevisiae PSP1 homologue  putative,>4C (GG2M)
Tb927.10.8340,1460.0,5992.0,4966.0,5517.5,5847.0,hypothetical protein,G1
Tb927.10.8350,9841.5,7934.0,7652.5,7979.5,6485.0,hypothetical protein,<2C (LG1)
Tb927.10.8360,8165.5,6413.0,6302.0,7220.0,5394.5,Poly(A)-specific ribonuclease PARN-2,<2C (LG1)
Tb927.10.8370,7971.0,4902.5,5239.0,4852.5,2786.0,hypothetical protein  conserved,<2C (LG1)
Tb927.10.8375,5799.0,7325.0,7312.0,8543.5,6173.5,hypothetical protein,G2M
Tb927.10.8380,1783.5,222.0,130.5,204.0,531.0,hypothetical protein  conserved,<2C (LG1)
Tb927.10.8390,9636.5,10726.5,11231.0,11025.0,11627.0,Concanavalin A-like lectin/glucanases superfamily/SPRY domain/HECT-domain (ubiquitin-transferase)  putative,>4C (GG2M)
Tb927.10.8400,1783.5,4778.5,4614.0,5765.5,4586.5,legume-like lectin  putative,G2M
Tb927.10.8410,9615.0,6295.0,6577.0,6441.0,6137.0,hypothetical protein  conserved,<2C (LG1)
Tb927.10.8420,11620.0,11530.0,11479.5,11414.0,11431.0,Phosphatidylinositol 3-kinase tor1,<2C (LG1)
Tb927.10.8430,612.5,40.5,40.0,111.0,86.0,40S ribosomal protein S12  putative,<2C (LG1)
Tb10.NT.95,2729.0,2319.0,2112.5,2520.5,3283.5,Noncoding RNA  putative,>4C (GG2M)
Tb927.10.8440,7892.5,6471.5,6334.0,6035.0,6928.0,glucose transporter 1B,<2C (LG1)
Tb927.10.8450,7177.0,5829.5,5598.0,5489.0,5555.0,glucose transporter 1E,<2C (LG1)
Tb927.10.8460,8520.5,6772.0,6270.5,6255.5,7219.5,glucose transporter  putative,<2C (LG1)
Tb927.10.8470,7573.5,6581.5,5765.5,6056.0,6764.0,glucose transporter  putative,<2C (LG1)
Tb927.10.8480,7568.0,7851.5,7767.5,7725.0,6104.0,glucose transporter  putative,G1
Tb927.10.8490,7859.5,6244.5,6772.0,6914.5,7290.0,glucose transporter  putative,<2C (LG1)
Tb927.10.8500,6552.0,5918.5,5408.5,6024.5,6190.0,glucose transporter  putative,<2C (LG1)
Tb927.10.8510,8044.5,7137.0,6966.5,7047.0,8360.5,glucose transporter  putative,>4C (GG2M)
Tb927.10.8520,9022.5,6676.0,6718.0,6366.5,8053.5,glucose transporter  putative,<2C (LG1)
Tb927.10.8530,8027.0,7216.5,6429.5,7469.0,7704.5,glucose transporter 2A,<2C (LG1)
Tb927.10.8540,2658.5,4733.5,5315.0,5060.5,2351.0,chaperone protein DnaJ  putative,S
Tb927.10.8560,612.5,3734.0,1574.0,2735.0,1622.5,small GTPase  putative,G1
Tb927.10.8570,11221.0,10888.5,10630.0,10709.0,10430.5,hypothetical protein  conserved,<2C (LG1)
Tb927.10.8580,7041.5,2621.0,1700.5,2617.5,1816.5,ADP-ribosylation factor-like protein 3b  putative,<2C (LG1)
Tb927.10.8585,4872.5,2224.0,2207.0,2046.5,2574.5,hypothetical protein,<2C (LG1)
Tb927.10.8590,9966.0,9628.0,9335.5,9559.0,5996.5,flagellum transition zone component,<2C (LG1)
Tb927.10.8600,8137.0,9634.5,9215.5,9518.5,8374.0,Vps54-like protein  putative,G1
Tb927.10.8610,5036.5,6911.5,6192.0,6255.5,5526.5,hypothetical protein  conserved,G1
Tb927.10.8620,612.5,8223.0,9407.5,9075.5,6596.5,hypothetical protein  conserved,S
Tb927.10.8630,6973.0,3680.0,2653.0,2858.5,5266.5,Sucrase/ferredoxin-like  putative,<2C (LG1)
